ZIP,MYear,Fuel,Make,Duty,Vehicles
90001,2013,Gasoline ,CHEVROLET,Light,80
90001,2013,Gasoline ,CHRYSLER,Light,12
90001,2013,Gasoline ,DODGE,Light,29
90001,2013,Gasoline ,FORD,Light,51
90001,2013,Gasoline ,HONDA,Light,139
90001,2013,Gasoline ,HYUNDAI,Light,51
90001,2013,Gasoline ,INFINITI,Light,15
90001,2013,Gasoline ,KIA,Light,84
90001,2013,Gasoline ,MERCEDES-BENZ,Light,16
90001,2013,Gasoline ,NISSAN,Light,189
90001,2013,Gasoline ,OTHER/UNK,Heavy,2
90001,2013,Gasoline ,OTHER/UNK,Light,52
90001,2013,Gasoline ,RAM,Light,11
90001,2013,Gasoline ,SCION,Light,26
90001,2013,Gasoline ,TOYOTA,Light,173
90001,2013,Gasoline ,VOLKSWAGEN,Light,25
90001,2013,HG,OTHER/UNK,Light,12
90001,2013,HG,TOYOTA,Light,31
90001,2013,N,OTHER/UNK,Light,1
90001,2013,PHEV,OTHER/UNK,Light,6
90001,2014,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,16
90001,2014,Diesel and Diesel Hybrid ,OTHER/UNK,Light,4
90001,2014,Battery Electric ,OTHER/UNK,Light,1
90001,2014,FXE,CHEVROLET,Light,76
90001,2014,FXE,DODGE,Light,33
90001,2014,FXE,FORD,Light,19
90001,2014,FXE,JEEP,Light,23
90001,2014,FXE,OTHER/UNK,Heavy,1
90001,2014,FXE,OTHER/UNK,Light,16
90001,2014,Gasoline ,BMW,Light,15
90001,2014,Gasoline ,CHEVROLET,Light,66
90001,2014,Gasoline ,DODGE,Light,37
90001,2014,Gasoline ,FORD,Light,66
90001,2014,Gasoline ,GMC,Light,19
90001,2014,Gasoline ,HONDA,Light,139
90001,2014,Gasoline ,HYUNDAI,Light,30
90001,2014,Gasoline ,JEEP,Light,18
90001,2014,Gasoline ,KIA,Light,74
90001,2014,Gasoline ,LEXUS,Light,13
90001,2014,Gasoline ,MAZDA,Light,11
90001,2014,Gasoline ,MERCEDES-BENZ,Light,14
90001,2014,Gasoline ,NISSAN,Light,266
90001,2014,Gasoline ,OTHER/UNK,Heavy,3
90001,2014,Gasoline ,OTHER/UNK,Light,45
90001,2014,Gasoline ,SCION,Light,14
90001,2014,Gasoline ,TOYOTA,Light,200
90001,2014,Gasoline ,VOLKSWAGEN,Light,15
90001,2014,HG,OTHER/UNK,Light,20
90001,2014,PHEV,OTHER/UNK,Light,7
90001,2015,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,7
90001,2015,Diesel and Diesel Hybrid ,OTHER/UNK,Light,9
90001,2015,FXE,CHEVROLET,Light,40
90001,2015,FXE,DODGE,Light,48
90001,2015,FXE,FORD,Light,20
90001,2015,FXE,GMC,Light,11
90001,2015,FXE,JEEP,Light,27
90001,2015,FXE,OTHER/UNK,Heavy,1
90001,2015,FXE,OTHER/UNK,Light,14
90001,2015,Gasoline ,BMW,Light,15
90001,2015,Gasoline ,CHEVROLET,Light,106
90001,2015,Gasoline ,CHRYSLER,Light,20
90001,2015,Gasoline ,DODGE,Light,47
90001,2015,Gasoline ,FORD,Light,41
90001,2015,Gasoline ,HONDA,Light,177
90001,2015,Gasoline ,HYUNDAI,Light,37
90001,2015,Gasoline ,INFINITI,Light,20
90001,2015,Gasoline ,JEEP,Light,21
90001,2015,Gasoline ,KIA,Light,172
90001,2015,Gasoline ,LEXUS,Light,13
90001,2015,Gasoline ,NISSAN,Light,312
90001,2015,Gasoline ,OTHER/UNK,Heavy,1
90001,2015,Gasoline ,OTHER/UNK,Light,55
90001,2015,Gasoline ,SCION,Light,17
90001,2015,Gasoline ,TOYOTA,Light,236
90001,2015,Gasoline ,VOLKSWAGEN,Light,13
90001,2015,HD,OTHER/UNK,Heavy,4
90001,2015,HG,KIA,Light,16
90001,2015,HG,OTHER/UNK,Light,6
90001,2015,HG,TOYOTA,Light,29
90001,2015,PHEV,OTHER/UNK,Light,3
90001,2016,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,15
90001,2016,Diesel and Diesel Hybrid ,OTHER/UNK,Light,16
90001,2016,Battery Electric ,OTHER/UNK,Light,5
90001,2016,FXE,CHEVROLET,Light,14
90001,2016,FXE,DODGE,Light,34
90001,2016,FXE,FORD,Light,12
90001,2016,FXE,JEEP,Light,17
90001,2016,FXE,OTHER/UNK,Light,21
90001,2016,Gasoline ,BMW,Light,16
90001,2016,Gasoline ,CHEVROLET,Light,116
90001,2016,Gasoline ,CHRYSLER,Light,13
90001,2016,Gasoline ,DODGE,Light,40
90001,2016,Gasoline ,FORD,Light,65
90001,2016,Gasoline ,HONDA,Light,275
90001,2016,Gasoline ,HYUNDAI,Light,34
90001,2016,Gasoline ,JEEP,Light,33
90001,2016,Gasoline ,KIA,Light,260
90001,2016,Gasoline ,LEXUS,Light,18
90001,2016,Gasoline ,MAZDA,Light,14
90001,2016,Gasoline ,MERCEDES-BENZ,Light,14
90001,2016,Gasoline ,NISSAN,Light,259
90001,2016,Gasoline ,OTHER/UNK,Heavy,3
90001,2016,Gasoline ,OTHER/UNK,Light,65
90001,2016,Gasoline ,SCION,Light,19
90001,2016,Gasoline ,TOYOTA,Light,215
90001,2016,HD,OTHER/UNK,Heavy,2
90001,2016,HG,KIA,Light,12
90001,2016,HG,OTHER/UNK,Light,4
90001,2016,HG,TOYOTA,Light,14
90001,2016,PHEV,OTHER/UNK,Light,4
90001,2017,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,10
90001,2017,Diesel and Diesel Hybrid ,OTHER/UNK,Light,10
90001,2017,Battery Electric ,OTHER/UNK,Light,4
90001,2017,FXE,CHEVROLET,Light,18
90001,2017,FXE,FORD,Light,28
90001,2017,FXE,OTHER/UNK,Light,25
90001,2017,Gasoline ,BMW,Light,13
90001,2017,Gasoline ,CHEVROLET,Light,118
90001,2017,Gasoline ,DODGE,Light,41
90001,2017,Gasoline ,FORD,Light,71
90001,2017,Gasoline ,GMC,Light,12
90001,2017,Gasoline ,HONDA,Light,271
90001,2017,Gasoline ,HYUNDAI,Light,40
90001,2017,Gasoline ,JEEP,Light,45
90001,2017,Gasoline ,KIA,Light,133
90001,2017,Gasoline ,MERCEDES-BENZ,Light,13
90001,2017,Gasoline ,MINI,Light,18
90001,2017,Gasoline ,NISSAN,Light,234
90001,2017,Gasoline ,OTHER/UNK,Heavy,3
90001,2017,Gasoline ,OTHER/UNK,Light,69
90001,2017,Gasoline ,RAM,Light,23
90001,2017,Gasoline ,SUBARU,Light,11
90001,2017,Gasoline ,TOYOTA,Light,288
90001,2017,Gasoline ,VOLKSWAGEN,Light,18
90001,2017,HG,KIA,Light,14
90001,2017,HG,OTHER/UNK,Light,9
90001,2017,HG,TOYOTA,Light,16
90001,2017,PHEV,OTHER/UNK,Light,8
90001,2018,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,3
90001,2018,Diesel and Diesel Hybrid ,OTHER/UNK,Light,1
90001,2018,FXE,OTHER/UNK,Light,3
90001,2018,Gasoline ,BMW,Light,68
90001,2018,Gasoline ,CHEVROLET,Light,13
90001,2018,Gasoline ,HONDA,Light,21
90001,2018,Gasoline ,KIA,Light,21
90001,2018,Gasoline ,MINI,Light,54
90001,2018,Gasoline ,OTHER/UNK,Light,46
90001,2018,Gasoline ,TOYOTA,Light,32
90001,2018,PHEV,OTHER/UNK,Light,8
